CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
3171303,Viçosa,MG,611.77,1
4308102,Feliz,RS,594.74,2
4315131,Pouso Novo,RS,593.72,3
4312674,Nicolau Vergueiro,RS,593.29,4
3303401,Nova Friburgo,RJ,593,5
3556206,Valinhos,SP,591.71,6
3119708,Coronel Xavier Chaves,MG,590.01,7
3168705,Timóteo,MG,589.75,8
4311403,Lajeado,RS,588.83,9
3303302,Niterói,RJ,586.79,10
4322806,Veranópolis,RS,586.01,11
4316758,Santa Clara do Sul,RS,585.72,12
3144805,Nova Lima,MG,584.74,13
3303955,Pinheiral,RJ,584.29,14
3136702,Juiz de Fora,MG,584.15,15
3145901,Ouro Branco,MG,583.93,16
3507209,Borá,SP,583.68,17
4315800,Roca Sales,RS,582.72,18
3543907,Rio Claro,SP,582.53,19
3106200,Belo Horizonte,MG,582.25,20
4313011,Nova Candelária,RS,581.51,21
4313201,Nova Petrópolis,RS,581.4,22
3507506,Botucatu,SP,581.34,23
3152501,Pouso Alegre,MG,581.13,24
4313466,Novo Xingu,RS,581.11,25
3131307,Ipatinga,MG,580.95,26
3152105,Ponte Nova,MG,580.53,27
3500105,Adamantina,SP,580.42,28
4205407,Florianópolis,SC,580.22,29
3549102,São João da Boa Vista,SP,580.16,30
4314787,Ponte Preta,RS,579.98,31
3170701,Varginha,MG,579.2,32
4210035,Luzerna,SC,578.97,33
3126000,Florestal,MG,578.74,34
3148004,Patos de Minas,MG,578.49,35
3147303,Paraisópolis,MG,578.15,36
3519055,Holambra,SP,577.54,37
4312351,Montauri,RS,577.45,38
3539301,Pirassununga,SP,577.16,39
3543402,Ribeirão Preto,SP,577.14,40
3162500,São João del Rei,MG,576.75,41
4310009,Ibirubá,RS,576.31,42
3103306,Aracitaba,MG,576.28,43
3128709,Guaxupé,MG,575.68,44
3202454,Ibatiba,ES,575.47,45
3130606,Inconfidentes,MG,575.06,46
3205309,Vitória,ES,574.95,47
4316501,Salvador do Sul,RS,574.71,48
4305207,Cerro Largo,RS,574.56,49
5205406,Ceres,GO,574.06,50
3549805,São José do Rio Preto,SP,573.73,51
3105608,Barbacena,MG,573.38,52
3122306,Divinópolis,MG,573.32,53
3548906,São Carlos,SP,573.11,54
3205069,Venda Nova do Imigrante,ES,573.05,55
4313409,Novo Hamburgo,RS,572.87,56
4201307,Araquari,SC,572.85,57
3549904,São José dos Campos,SP,572.7,58
3126109,Formiga,MG,572.27,59
4218756,Tunápolis,SC,572.16,60
3136207,João Monlevade,MG,572.06,61
3162807,São João Evangelista,MG,571.91,62
3501905,Amparo,SP,571.76,63
3144102,Muzambinho,MG,571.76,64
3556701,Vinhedo,SP,571.59,65
3506102,Bebedouro,SP,571.52,66
4106902,Curitiba,PR,571.42,67
3518404,Guaratinguetá,SP,571.23,68
4316956,Santa Maria do Herval,RS,571.13,69
3138203,Lavras,MG,570.84,70
3133808,Itaúna,MG,570.39,71
3151800,Poços de Caldas,MG,570.33,72
4312955,Nova Boa Vista,RS,570.23,73
4207650,Iporã do Oeste,SC,569.97,74
3511102,Catanduva,SP,569.96,75
4302105,Bento Gonçalves,RS,569.9,76
4310801,Ivoti,RS,569.53,77
3151503,Piumhi,MG,569.51,78
3170206,Uberlândia,MG,568.97,79
3204609,Santa Teresa,ES,568.9,80
3533502,Novo Horizonte,SP,568.9,81
3557105,Votuporanga,SP,568.82,82
4209003,Joaçaba,SC,568.78,83
3304557,Rio de Janeiro,RJ,568.39,84
4316808,Santa Cruz do Sul,RS,568.28,85
4314423,Picada Café,RS,568.27,86
4301008,Arroio do Meio,RS,568.2,87
3546603,Santa Fé do Sul,SP,568.11,88
4307807,Estrela,RS,568.08,89
3501608,Americana,SP,567.95,90
3169901,Ubá,MG,567.78,91
3137403,Lagoa Dourada,MG,567.78,92
3549706,São José do Rio Pardo,SP,567.47,93
3138708,Luminárias,MG,567.32,94
3167202,Sete Lagoas,MG,566.89,95
4322350,União da Serra,RS,566.86,96
3525904,Jundiaí,SP,566.63,97
3547502,Santa Rita do Passa Quatro,SP,566.54,98
4310751,Ivorá,RS,566.51,99
3504107,Atibaia,SP,566.48,100
4206801,Ibicaré,SC,566.25,101
3132404,Itajubá,MG,566.03,102
4305934,Coronel Pilar,RS,565.71,103
4218707,Tubarão,SC,565.69,104
3526902,Limeira,SP,565.59,105
2802908,Itabaiana,SE,565.43,106
4304952,Caseiros,RS,565.35,107
4208906,Jaraguá do Sul,SC,565.32,108
4210555,Marema,SC,565.32,109
4315149,Presidente Lucena,RS,565.28,110
4114609,Marechal Cândido Rondon,PR,565.23,111
5208707,Goiânia,GO,565.14,112
3503208,Araraquara,SP,565.02,113
3152709,Prados,MG,565.02,114
3149101,Pedralva,MG,564.94,115
3304201,Resende,RJ,564.88,116
3538709,Piracicaba,SP,564.82,117
3104007,Araxá,MG,564.71,118
