CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
4211801,Ouro,SC,591.35,1
4303400,Caiçara,RS,586.36,2
3556206,Valinhos,SP,582.8,3
4315800,Roca Sales,RS,581.93,4
3171303,Viçosa,MG,581.83,5
3126000,Florestal,MG,581.82,6
4315149,Presidente Lucena,RS,580.28,7
4205407,Florianópolis,SC,578.84,8
4322350,União da Serra,RS,577.51,9
3529104,Marinópolis,SP,576.34,10
3204609,Santa Teresa,ES,575.94,11
3303401,Nova Friburgo,RJ,575.09,12
3303302,Niterói,RJ,573.67,13
4322806,Veranópolis,RS,572.25,14
4300554,Alto Alegre,RS,571.35,15
4301008,Arroio do Meio,RS,571.32,16
3119708,Coronel Xavier Chaves,MG,570.79,17
4300661,André da Rocha,RS,570.44,18
4313466,Novo Xingu,RS,569.49,19
4304309,Cândido Godói,RS,569.11,20
4302105,Bento Gonçalves,RS,568.73,21
3168705,Timóteo,MG,568.27,22
4316758,Santa Clara do Sul,RS,567.55,23
3136702,Juiz de Fora,MG,566.91,24
3168101,Tapira,MG,566.8,25
4210035,Luzerna,SC,566.58,26
3130606,Inconfidentes,MG,566.12,27
3135001,Jaguaraçu,MG,566,28
4308102,Feliz,RS,565.76,29
4305603,Colorado,RS,565.32,30
4311403,Lajeado,RS,564.94,31
4313201,Nova Petrópolis,RS,564.59,32
3144805,Nova Lima,MG,564.36,33
4323309,Vila Flores,RS,564.21,34
4201307,Araquari,SC,563.62,35
3152501,Pouso Alegre,MG,563.24,36
3205309,Vitória,ES,562.99,37
2202729,Cocal dos Alves,PI,562.9,38
3105608,Barbacena,MG,562.74,39
3170701,Varginha,MG,562.64,40
4201208,Antônio Carlos,SC,562.27,41
4202404,Blumenau,SC,562.01,42
3543402,Ribeirão Preto,SP,561.91,43
3135308,Japaraíba,MG,561.76,44
4209003,Joaçaba,SC,561.49,45
3162906,São João Nepomuceno,MG,561.42,46
3154200,Resende Costa,MG,561.22,47
4313425,Novo Machado,RS,561.1,48
4322558,Vanini,RS,561.07,49
3155801,Rio Pomba,MG,561.03,50
4317251,Santa Tereza,RS,560.52,51
3203346,Marechal Floriano,ES,560.11,52
3549102,São João da Boa Vista,SP,559.89,53
3106200,Belo Horizonte,MG,559.77,54
4307807,Estrela,RS,559.52,55
3148004,Patos de Minas,MG,559.5,56
4313409,Novo Hamburgo,RS,559.29,57
3501905,Amparo,SP,559.14,58
3133808,Itaúna,MG,559.13,59
3202454,Ibatiba,ES,558.94,60
3162500,São João del Rei,MG,558.78,61
4316907,Santa Maria,RS,558.21,62
4316808,Santa Cruz do Sul,RS,557.92,63
4213609,Porto União,SC,557.81,64
3149101,Pedralva,MG,557.69,65
3533700,Ocauçu,SP,557.61,66
3102050,Alto Caparaó,MG,557.42,67
4305934,Coronel Pilar,RS,557.37,68
3548807,São Caetano do Sul,SP,556.97,69
3138203,Lavras,MG,556.89,70
4317202,Santa Rosa,RS,556.84,71
4320107,Sarandi,RS,556.75,72
3126109,Formiga,MG,556.71,73
5205406,Ceres,GO,556.54,74
3549805,São José do Rio Preto,SP,556.49,75
4310009,Ibirubá,RS,556.38,76
3100203,Abaeté,MG,556.36,77
4318499,São José do Inhacorá,RS,556.12,78
3549904,São José dos Campos,SP,556.07,79
3151800,Poços de Caldas,MG,555.98,80
3131307,Ipatinga,MG,555.85,81
4309555,Harmonia,RS,555.76,82
4208005,Itá,SC,555.6,83
3507506,Botucatu,SP,555.55,84
3125200,Fama,MG,555.11,85
3139904,Maria da Fé,MG,554.83,86
3205069,Venda Nova do Imigrante,ES,554.55,87
3137403,Lagoa Dourada,MG,554.55,88
3532603,Nhandeara,SP,554.5,89
4313300,Nova Prata,RS,554.46,90
3539301,Pirassununga,SP,554.42,91
