CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
24078298,2408102,Natal,RN,776.56,1,EDUCANDARIO NOSSA SENHORA DA CONCEICAO
23251980,2304400,Fortaleza,CE,759.26,2,CHRISTUS CENTRO UNIVERSITARIO
23246847,2304400,Fortaleza,CE,756.51,3,FARIAS BRITO COLEGIO DE APLICACAO
23246871,2304400,Fortaleza,CE,747.88,4,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
22025740,2211001,Teresina,PI,742.07,5,INSTITUTO DOM BARRETO
33135827,3304557,Rio de Janeiro,RJ,740.8,6,COLEGIO E CURSO PONTO DE ENSINO
22129529,2211001,Teresina,PI,740.52,7,CEV COLEGIO UNIDADE JOCKEY
52020525,5201108,Anápolis,GO,738.86,8,COL IMACULADA CONCEICAO
31350664,3106200,Belo Horizonte,MG,738.49,9,COLEGIO BERNOULLI
31351725,3106200,Belo Horizonte,MG,738.49,10,COLEGUIUM
33055190,3303302,Niterói,RJ,736.23,11,ASSOC EDUC MIRAFLORES
15167275,1501402,Belém,PA,735.13,12,SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP
29467764,2927408,Salvador,BA,733.51,13,COLEGIO BERNOULLI
33040516,3303906,Petrópolis,RJ,733.07,14,COLEGIO IPIRANGA
31004031,3106200,Belo Horizonte,MG,731.45,15,COLEGIO SANTA MARCELINA
31357154,3167202,Sete Lagoas,MG,731.02,16,COLEGIO ALPHA
31349720,3131307,Ipatinga,MG,730.64,17,FIBONACCI COLEGIO
35399197,3550308,São Paulo,SP,729.85,18,OBJETIVO COLEGIO INTEGRADO
23235543,2304400,Fortaleza,CE,729.5,19,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
52090728,5210000,Inhumas,GO,726.14,20,ESCOLA MONSENHOR ANGELINO
23246880,2304400,Fortaleza,CE,726.11,21,CHRISTUS COLEGIO PRE UNIVERSITARIO
17044022,1721000,Palmas,TO,725.36,22,COLEGIO OLIMPO
31004812,3106200,Belo Horizonte,MG,723.7,23,COLEGIO SANTO ANTONIO
31347060,3132909,Itamogi,MG,723.58,24,COLEGIO NOVA ARTE ITAMOGI
31311723,3106200,Belo Horizonte,MG,721.17,25,COLEGIO BERNOULLI - UNIDADE GONCALVES DIAS
33105138,3304557,Rio de Janeiro,RJ,720.18,26,COL INTEGRADO MARTINS MARTINSINHO MEIER
33145237,3303401,Nova Friburgo,RJ,720.01,27,COLEGIO SAO JOAO BATISTA NOVA FRIBURGO
31128074,3171303,Viçosa,MG,718.61,28,COL DE APLICACAO DA UFV - COLUNI
22141693,2211001,Teresina,PI,717.63,29,CENTRO EDUCACIONAL OBJETIVO LTDA
31004651,3106200,Belo Horizonte,MG,716.98,30,COLEGIO SANTO AGOSTINHO
22023658,2211001,Teresina,PI,716.22,31,EDUCANDARIO SANTA MARIA GORETTI
22022481,2211001,Teresina,PI,715.95,32,ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS
26534711,2611606,Recife,PE,715.13,33,COLEGIO COGNITIVO
